source_variable,unit_measure,unit_measure_label,type,type_label,technology_domain,technology_domain_label,regional_patent_office,regional_patent_office_label,candidate_role,recommended_use,include,reason,coverage_checked,dataset_id,variable,total_rows,non_missing_observations,missing_observations,countries_total,countries_with_data,years_total,years_with_data,first_year,last_year
INV_PS.DEV.TRA._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.DEV.WAT_WASTE._Z,INV_PS,Inventions per person,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_PS.RENEW.ADAPT._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.BUILD._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.ENE._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.ENV_PAT._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.GHG._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.GOODS._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.ICT._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.MAN._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.OCEAN._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.TRA._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_PS.RENEW.WAT_WASTE._Z,INV_PS,Inventions per person,RENEW,Development of renewable energy technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.DEV.ADAPT._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.BUILD._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.ENE._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.ENV_PAT._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,"R&D-normalized patent intensity may be useful for robustness, but the denominator is harder to compare broadly.",False,,,,,,,,,,,
INV_RD_S13.DEV.GHG._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.GOODS._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.ICT._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.MAN._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.OCEAN._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.TRA._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.DEV.WAT_WASTE._Z,INV_RD_S13,Inventions per unit of government R&D,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.ADAPT._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.BUILD._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.ENE._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.ENV_PAT._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.GHG._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.GOODS._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.ICT._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.MAN._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.OCEAN._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.TRA._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S13.RENEW.WAT_WASTE._Z,INV_RD_S13,Inventions per unit of government R&D,RENEW,Development of renewable energy technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.ADAPT._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.BUILD._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.ENE._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.ENV_PAT._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,"R&D-normalized patent intensity may be useful for robustness, but the denominator is harder to compare broadly.",False,,,,,,,,,,,
INV_RD_S1ZS.DEV.GHG._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.GOODS._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.ICT._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.MAN._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.OCEAN._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.TRA._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.DEV.WAT_WASTE._Z,INV_RD_S1ZS,Inventions per unit of public R&D,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.ADAPT._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.BUILD._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.ENE._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.ENV_PAT._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.GHG._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.GOODS._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.ICT._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.MAN._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.OCEAN._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.TRA._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
INV_RD_S1ZS.RENEW.WAT_WASTE._Z,INV_RD_S1ZS,Inventions per unit of public R&D,RENEW,Development of renewable energy technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.ADAPT._Z,IX,Index,RENEW,Development of renewable energy technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.BUILD._Z,IX,Index,RENEW,Development of renewable energy technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.ENE._Z,IX,Index,RENEW,Development of renewable energy technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.ENV_PAT._Z,IX,Index,RENEW,Development of renewable energy technologies,ENV_PAT,Environment-related technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.GHG._Z,IX,Index,RENEW,Development of renewable energy technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.GOODS._Z,IX,Index,RENEW,Development of renewable energy technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.ICT._Z,IX,Index,RENEW,Development of renewable energy technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.MAN._Z,IX,Index,RENEW,Development of renewable energy technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.OCEAN._Z,IX,Index,RENEW,Development of renewable energy technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.TRA._Z,IX,Index,RENEW,Development of renewable energy technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
IX.RENEW.WAT_WASTE._Z,IX,Index,RENEW,Development of renewable energy technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Renewable-energy patenting is substantively important but narrower than the broad environmental-innovation target.,False,,,,,,,,,,,
PT_INV.DEV.ADAPT._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ADAPT,Climate change adaptation technologies,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.BUILD._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.ENE._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.GHG._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.GOODS._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,GOODS,Climate change mitigation technologies in the production or processing of goods,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.ICT._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,ICT,Climate change mitigation in information and communication technologies (ICT),_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.MAN._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,MAN,Environmental management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.OCEAN._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,OCEAN,Sustainable ocean economy,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.TRA._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,TRA,Climate change mitigation technologies related to transportation,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
PT_INV.DEV.WAT_WASTE._Z,PT_INV,Percentage of inventions,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,secondary_target,robustness or thematic outcome candidate,False,Broad environmental subdomain; useful for descriptive checks but too narrow for the main target.,False,,,,,,,,,,,
